Title,Locations,Price,Square feet area,Status,Bathrooms
2 BHK Independent Floor,Banashankari, 9000 ,600 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Malur, 7000 ,1300 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Malur, 7000 ,1300 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Kacharakanahalli Hennur Main Road, 11000 ,650 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Lingarajapuram, 9500 ,500 ,Semi-Furnished,1 bathrooms
2 BHK Apartment in Janaadhar Janaadhar Shubha 2,Anekal City, 7500 ,850 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Eden Manor,RMV, 40000 ,1700 ,Semi-Furnished,3 bathrooms
1 BHK Apartment,Sadduguntepalya, 9000 ,350 ,Semi-Furnished,1 bathrooms
2 BHK Independent House,R.K. Hegde Nagar, 14000 ,1000 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment in Essem Ele Vana,Kasavanahalli, 6500 ,200 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Shanti Nagar, 20000 ,540 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment,Electronics City, 15000 ,250 ,Furnished,1 bathrooms
2 BHK Apartment,Kodipur, 10000 ,1000 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment in Swaraj Homes Ebony Woods,Indira Nagar, 9500 ,300 ,Furnished,1 bathrooms
1 BHK Independent Floor,Lingarajapuram, 9000 ,450 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Electronics City, 9000 ,750 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Kumaraswamy Layout, 10000 ,700 ,Semi-Furnished,1 bathrooms
3 BHK Apartment in Puravankara Purva Venezia,Yelahanka, 32000 ,1614 ,Semi-Furnished,3 bathrooms
2 BHK Independent Floor,Hosakerehalli, 8500 ,600 ,Unfurnished,1 bathrooms
2 BHK Apartment in Reputed Builder SLV Apartment,Hulimavu, 17000 ,850 ,Semi-Furnished,1 bathrooms
3 BHK Apartment,Gottigere, 21000 ,1415 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment,Doddathoguru, 12000 ,200 ,Furnished,1 bathrooms
1 BHK Independent House,Electronic City Phase II, 6500 ,500 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Lingarajapuram, 9000 ,450 ,Semi-Furnished,1 bathrooms
2 BHK Independent House,Electronics City, 9000 ,900 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Lingarajapuram, 10000 ,700 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,J. P. Nagar, 12000 ,600 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Electronics City, 6500 ,500 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Lingarajapuram, 15000 ,800 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,BTM Layout, 19000 ,600 ,Furnished,[]
3 BHK Apartment in Swaraj Homes Yamunothri Apartment,JP Nagar Phase 8, 18500 ,1275 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Banashankari, 14500 ,800 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,J. P. Nagar, 12000 ,800 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Domlur Layout, 9000 ,2000 ,Furnished,1 bathrooms
1 BHK Independent Floor,Langford Gardens, 20000 ,400 ,Furnished,1 bathrooms
2 BHK Independent Floor,Rajajinagar, 25000 ,850 ,Semi-Furnished,2 bathrooms
3 BHK Independent Floor,Jalahalli West, 16000 ,1200 ,Semi-Furnished,3 bathrooms
2 BHK Independent House,Kartik Nagar, 13000 ,750 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,Kartik Nagar, 15000 ,750 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,Konanakunte, 8000 ,690 ,Furnished,1 bathrooms
1 RK Studio Apartment,Arakere, 7200 ,300 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Kaval Byrasandra, 8000 ,1200 ,Furnished,1 bathrooms
1 BHK Independent House,BTM Layout 2nd Stage, 10000 ,550 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Marathahalli, 7500 ,290 ,Semi-Furnished,1 bathrooms
1 BHK Independent House,Rayasandra, 5000 ,500 ,Unfurnished,1 bathrooms
1 RK Studio Apartment,Kacharakanahalli Hennur Main Road, 6000 ,600 ,Semi-Furnished,1 bathrooms
3 BHK Apartment,Malleswaram, 60000 ,2100 ,Furnished,2 bathrooms
1 RK Studio Apartment,BTM Layout, 6500 ,300 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Medahalli, 13000 ,979 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Rampura, 11000 ,1150 ,Furnished,2 bathrooms
3 BHK Independent House,RMV Extension Stage 2, 41000 ,2200 ,Semi-Furnished,3 bathrooms
3 BHK Independent House,Battarahalli, 20000 ,1200 ,Semi-Furnished,2 bathrooms
3 BHK Independent House,RMV Extension Stage 2, 41000 ,2200 ,Semi-Furnished,3 bathrooms
2 BHK Independent House,BTM Layout, 15000 ,1100 ,Semi-Furnished,3 bathrooms
1 BHK Apartment,Whitefield, 9500 ,700 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Whitefield, 9500 ,700 ,Semi-Furnished,1 bathrooms
